,COMPETITION,SEASON,game,minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
102,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,40,Antonio Rüdiger,Real Madrid,0.18,0.4,Saved,7,Head,,Toni Kroos,Pass (Dead),Ferland Mendy,Pass (Live)
103,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,40,Aurélien Tchouaméni,Real Madrid,0.09,,Blocked,18,Right Foot,,Federico Valverde,Pass (Live),Federico Valverde,Take-On
104,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,42,Eduardo Camavinga,Real Madrid,0.05,,Blocked,24,Left Foot,,Lucas Vázquez,Pass (Live),Eduardo Camavinga,Pass (Live)
105,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,42,Toni Kroos,Real Madrid,0.02,,Blocked,26,Right Foot,,Vinicius Júnior,Pass (Live),Aurélien Tchouaméni,Pass (Live)
106,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,46,Toni Kroos,Real Madrid,0.02,0.03,Saved,29,Right Foot,,Karim Benzema,Pass (Live),Vinicius Júnior,Pass (Live)
107,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,50,Samu Costa,Almería,0.02,,Off Target,34,Left Foot,,Umar Sadiq,Pass (Live),Íñigo Eguaras,Pass (Live)
108,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,52,Federico Valverde,Real Madrid,0.08,0.21,Saved,13,Right Foot,,Karim Benzema,Pass (Live),Vinicius Júnior,Pass (Live)
109,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,52,Umar Sadiq,Almería,0.06,0.03,Saved,14,Left Foot,,Samu Costa,Pass (Live),Largie Ramazani,Pass (Live)
110,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,54,Largie Ramazani,Almería,0.03,0.03,Saved,20,Right Foot,,Sergio Akieme,Pass (Live),Srđan Babić,Pass (Live)
111,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,55,Karim Benzema,Real Madrid,0.14,0.17,Saved,13,Left Foot,,Vinicius Júnior,Pass (Live),Toni Kroos,Pass (Live)
112,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,59,Luka Modrić,Real Madrid,0.04,,Off Target,19,Right Foot,,Vinicius Júnior,Pass (Live),Karim Benzema,Pass (Live)
113,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,61,Vinicius Júnior,Real Madrid,0.11,0.41,Saved,8,Right Foot,,,,,
114,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,61,Lucas Vázquez,Real Madrid,0.13,0.72,Goal,9,Left Foot,,Vinicius Júnior,Shot,,
115,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,63,Toni Kroos,Real Madrid,0.03,0.23,Saved,27,Right Foot,,Lucas Vázquez,Pass (Live),Federico Valverde,Pass (Live)
116,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,63,Karim Benzema,Real Madrid,0.04,,Off Target,21,Right Foot,,Federico Valverde,Pass (Live),Karim Benzema,Pass (Live)
